id,category,step,executed_at,inputs,outputs,db_location,notes
A0001,execute,child unit tests: fees + books + ladder protocols (TDD green),2026-09-04T02:39:17+00:00,/home/user/dskit/.venv/bin/python -m pytest tests/test_fees.py tests/test_books.py -q,,,Orchestrator-owned contract modules verified before agent integration; 39 tests.; exit 0
A0002,execute,dskit gates: purity (ADR-0077 read seam) + leads + observations + localtables,2026-09-04T02:41:55+00:00,pytest tests/pipeline/test_purity.py tests/onboarding/test_leads.py tests/pipeline_libs/test_observations.py tests/onboarding/test_localtables.py tests/onboarding/test_purity.py,"191 passed, 8 skipped",,Purity gate widened for the tier-2 read-seam import; agent units leads/observations/localtables verified; exit 0
A0003,execute,"integration: LeadGrid onto dskit, stream() accessors, data nodes + packs green",2026-09-04T02:59:30+00:00,/home/user/dskit/.venv/bin/python -m pytest /home/user/dskit/tests/pipeline_libs/test_observations.py /home/user/dskit/tests/onboarding/test_connector.py /home/user/dskit/tests/onboarding/test_polymarket.py /home/user/dskit/tests/onboarding/test_kalshi.py /home/user/dskit/tests/onboarding/test_predexon.py tests/test_nodes_data.py tests/test_testing.py tests/test_configs.py tests/test_fees.py tests/test_books.py -q -p no:cacheprovider,,,Reconciled the child's LeadGrid onto dskit.onboarding.leads; added root/source/stream hooks to the observations pack; polymarket extra; registry pin widened to 8 kinds.; exit 0
A0004,execute,pmquant-ladder-e2e,2026-09-04T03:09:30+00:00,pmquant-ladder-e2e,/tmp/sweepog3wcr6d/runs3/pmquant-ladder-e2e-2026-04-01-51027e6f,/tmp/sweepog3wcr6d/runs3/pmquant-ladder-e2e-2026-04-01-51027e6f,state=halted hash=51027e6f asof=2026-04-01
A0005,execute,pmquant-ladder-e2e,2026-09-04T03:09:38+00:00,pmquant-ladder-e2e,/tmp/sweepog3wcr6d/runs15/pmquant-ladder-e2e-2026-04-01-9d166be9,/tmp/sweepog3wcr6d/runs15/pmquant-ladder-e2e-2026-04-01-9d166be9,state=halted hash=9d166be9 asof=2026-04-01
A0006,execute,pmquant-ladder-e2e,2026-09-04T03:09:57+00:00,pmquant-ladder-e2e,/tmp/sweepog3wcr6d/runs40/pmquant-ladder-e2e-2026-04-01-b28e1aef,/tmp/sweepog3wcr6d/runs40/pmquant-ladder-e2e-2026-04-01-b28e1aef,state=halted hash=b28e1aef asof=2026-04-01
A0007,execute,"e2e epoch sweep on the synthetic world (3,15,40 epochs)",2026-09-04T03:09:58+00:00,"/home/user/dskit/.venv/bin/python /tmp/claude-0/-home-user/66401f5f-c522-5eae-9358-ca57f5e784df/scratchpad/epoch_sweep.py 3,15,40",,,Does the transformer beat the market null with more epochs; timing budget check.; exit 0
A0008,execute,pmquant-ladder-e2e,2026-09-04T03:10:34+00:00,pmquant-ladder-e2e,/tmp/sweeppp2uv1g2/runs20/pmquant-ladder-e2e-2026-04-01-14bee380,/tmp/sweeppp2uv1g2/runs20/pmquant-ladder-e2e-2026-04-01-14bee380,state=halted hash=14bee380 asof=2026-04-01
A0009,execute,pmquant-ladder-e2e,2026-09-04T03:12:11+00:00,pmquant-ladder-e2e,/tmp/sweepvckttmle/runs5/pmquant-ladder-e2e-2026-04-01-ee0dd14c,/tmp/sweepvckttmle/runs5/pmquant-ladder-e2e-2026-04-01-ee0dd14c,state=error hash=ee0dd14c asof=2026-04-01
A0010,execute,pmquant-ladder-e2e,2026-09-04T03:12:18+00:00,pmquant-ladder-e2e,/tmp/sweepvckttmle/runs12/pmquant-ladder-e2e-2026-04-01-dd76280c,/tmp/sweepvckttmle/runs12/pmquant-ladder-e2e-2026-04-01-dd76280c,state=error hash=dd76280c asof=2026-04-01
